mode,event_id,attempt,applied,observed_total,latency_ms
naive,1,1,1,1,0.777
naive,1,2,1,2,0.819
naive,1,3,1,3,0.797
naive,2,1,1,4,0.816
naive,2,2,1,5,0.790
naive,2,3,1,6,0.744
naive,3,1,1,7,0.767
naive,3,2,1,8,0.783
naive,3,3,1,9,0.746
naive,4,1,1,10,0.755
naive,4,2,1,11,0.753
naive,4,3,1,12,0.743
naive,5,1,1,13,0.718
naive,5,2,1,14,0.746
naive,5,3,1,15,0.727
naive,6,1,1,16,0.742
naive,6,2,1,17,0.746
naive,6,3,1,18,0.710
naive,7,1,1,19,1.589
naive,7,2,1,20,0.722
naive,7,3,1,21,0.718
naive,8,1,1,22,0.711
naive,8,2,1,23,0.689
naive,8,3,1,24,0.661
naive,9,1,1,25,0.683
naive,9,2,1,26,0.709
naive,9,3,1,27,0.675
naive,10,1,1,28,0.703
naive,10,2,1,29,0.672
naive,10,3,1,30,0.707
naive,11,1,1,31,0.709
naive,11,2,1,32,0.710
naive,11,3,1,33,0.695
naive,12,1,1,34,1.891
naive,12,2,1,35,0.693
naive,12,3,1,36,0.675
naive,13,1,1,37,0.702
naive,13,2,1,38,0.685
naive,13,3,1,39,0.678
naive,14,1,1,40,0.659
naive,14,2,1,41,0.683
naive,14,3,1,42,0.678
naive,15,1,1,43,0.662
naive,15,2,1,44,0.682
naive,15,3,1,45,0.686
naive,16,1,1,46,0.695
naive,16,2,1,47,0.678
naive,16,3,1,48,0.679
naive,17,1,1,49,0.732
naive,17,2,1,50,0.691
naive,17,3,1,51,0.683
naive,18,1,1,52,0.711
naive,18,2,1,53,0.709
naive,18,3,1,54,0.698
naive,19,1,1,55,0.695
naive,19,2,1,56,1.686
naive,19,3,1,57,0.700
naive,20,1,1,58,0.679
naive,20,2,1,59,0.674
naive,20,3,1,60,0.701
naive,21,1,1,61,0.687
naive,21,2,1,62,0.664
naive,21,3,1,63,0.657
naive,22,1,1,64,0.659
naive,22,2,1,65,0.659
naive,22,3,1,66,0.681
naive,23,1,1,67,0.669
naive,23,2,1,68,0.691
naive,23,3,1,69,1.948
naive,24,1,1,70,0.683
naive,24,2,1,71,0.655
naive,24,3,1,72,0.661
naive,25,1,1,73,0.696
naive,25,2,1,74,0.658
naive,25,3,1,75,0.715
naive,26,1,1,76,0.725
naive,26,2,1,77,0.714
naive,26,3,1,78,0.687
naive,27,1,1,79,0.671
naive,27,2,1,80,0.692
naive,27,3,1,81,0.688
naive,28,1,1,82,0.710
naive,28,2,1,83,0.681
naive,28,3,1,84,0.689
naive,29,1,1,85,0.662
naive,29,2,1,86,0.681
naive,29,3,1,87,0.686
naive,30,1,1,88,0.698
naive,30,2,1,89,0.698
naive,30,3,1,90,0.683
naive,31,1,1,91,0.673
naive,31,2,1,92,0.696
naive,31,3,1,93,0.682
naive,32,1,1,94,0.683
naive,32,2,1,95,0.665
naive,32,3,1,96,0.696
naive,33,1,1,97,0.681
naive,33,2,1,98,0.686
naive,33,3,1,99,0.696
naive,34,1,1,100,0.678
naive,34,2,1,101,0.666
naive,34,3,1,102,0.712
naive,35,1,1,103,0.692
naive,35,2,1,104,0.699
naive,35,3,1,105,0.690
naive,36,1,1,106,0.721
naive,36,2,1,107,0.697
naive,36,3,1,108,0.684
naive,37,1,1,109,0.676
naive,37,2,1,110,0.684
naive,37,3,1,111,0.692
naive,38,1,1,112,0.660
naive,38,2,1,113,0.683
naive,38,3,1,114,0.816
naive,39,1,1,115,0.742
naive,39,2,1,116,0.699
naive,39,3,1,117,0.692
naive,40,1,1,118,0.698
naive,40,2,1,119,0.691
naive,40,3,1,120,0.695
naive,41,1,1,121,0.687
naive,41,2,1,122,0.685
naive,41,3,1,123,0.701
naive,42,1,1,124,0.696
naive,42,2,1,125,0.692
naive,42,3,1,126,0.721
naive,43,1,1,127,0.712
naive,43,2,1,128,0.669
naive,43,3,1,129,0.775
naive,44,1,1,130,0.762
naive,44,2,1,131,0.705
naive,44,3,1,132,0.682
naive,45,1,1,133,0.706
naive,45,2,1,134,0.691
naive,45,3,1,135,0.685
naive,46,1,1,136,0.705
naive,46,2,1,137,0.745
naive,46,3,1,138,0.772
naive,47,1,1,139,0.805
naive,47,2,1,140,0.687
naive,47,3,1,141,0.721
naive,48,1,1,142,0.859
naive,48,2,1,143,0.679
naive,48,3,1,144,0.692
naive,49,1,1,145,0.767
naive,49,2,1,146,0.705
naive,49,3,1,147,0.684
naive,50,1,1,148,0.693
naive,50,2,1,149,0.717
naive,50,3,1,150,0.681
naive,51,1,1,151,0.679
naive,51,2,1,152,0.670
naive,51,3,1,153,0.684
naive,52,1,1,154,0.684
naive,52,2,1,155,0.681
naive,52,3,1,156,0.685
naive,53,1,1,157,0.675
naive,53,2,1,158,0.696
naive,53,3,1,159,0.697
naive,54,1,1,160,0.688
naive,54,2,1,161,0.714
naive,54,3,1,162,0.702
naive,55,1,1,163,0.673
naive,55,2,1,164,0.709
naive,55,3,1,165,1.296
naive,56,1,1,166,0.684
naive,56,2,1,167,0.695
naive,56,3,1,168,0.683
naive,57,1,1,169,0.682
naive,57,2,1,170,0.690
naive,57,3,1,171,0.685
naive,58,1,1,172,0.677
naive,58,2,1,173,0.679
naive,58,3,1,174,0.666
naive,59,1,1,175,0.690
naive,59,2,1,176,0.704
naive,59,3,1,177,0.685
naive,60,1,1,178,0.693
naive,60,2,1,179,0.679
naive,60,3,1,180,0.691
naive,61,1,1,181,0.687
naive,61,2,1,182,0.687
naive,61,3,1,183,0.686
naive,62,1,1,184,0.677
naive,62,2,1,185,0.862
naive,62,3,1,186,0.675
naive,63,1,1,187,0.687
naive,63,2,1,188,0.685
naive,63,3,1,189,0.949
naive,64,1,1,190,0.698
naive,64,2,1,191,0.698
naive,64,3,1,192,0.679
naive,65,1,1,193,0.670
naive,65,2,1,194,0.688
naive,65,3,1,195,0.694
naive,66,1,1,196,0.684
naive,66,2,1,197,0.678
naive,66,3,1,198,1.680
naive,67,1,1,199,0.677
naive,67,2,1,200,0.712
naive,67,3,1,201,0.679
naive,68,1,1,202,0.693
naive,68,2,1,203,0.688
naive,68,3,1,204,0.725
naive,69,1,1,205,0.708
naive,69,2,1,206,0.698
naive,69,3,1,207,0.663
naive,70,1,1,208,0.686
naive,70,2,1,209,0.673
naive,70,3,1,210,0.664
naive,71,1,1,211,0.691
naive,71,2,1,212,0.735
naive,71,3,1,213,0.675
naive,72,1,1,214,0.683
naive,72,2,1,215,0.684
naive,72,3,1,216,0.668
naive,73,1,1,217,0.677
naive,73,2,1,218,0.682
naive,73,3,1,219,0.675
naive,74,1,1,220,0.672
naive,74,2,1,221,0.677
naive,74,3,1,222,0.724
naive,75,1,1,223,0.709
naive,75,2,1,224,0.667
naive,75,3,1,225,0.679
naive,76,1,1,226,0.665
naive,76,2,1,227,0.711
naive,76,3,1,228,0.675
naive,77,1,1,229,0.687
naive,77,2,1,230,0.666
naive,77,3,1,231,0.670
naive,78,1,1,232,0.685
naive,78,2,1,233,0.665
naive,78,3,1,234,0.676
naive,79,1,1,235,0.653
naive,79,2,1,236,0.682
naive,79,3,1,237,0.691
naive,80,1,1,238,0.677
naive,80,2,1,239,0.673
naive,80,3,1,240,0.677
naive,81,1,1,241,0.697
naive,81,2,1,242,0.688
naive,81,3,1,243,0.674
naive,82,1,1,244,0.693
naive,82,2,1,245,0.680
naive,82,3,1,246,0.676
naive,83,1,1,247,0.677
naive,83,2,1,248,0.682
naive,83,3,1,249,0.686
naive,84,1,1,250,0.683
naive,84,2,1,251,0.690
naive,84,3,1,252,0.674
naive,85,1,1,253,1.138
naive,85,2,1,254,0.666
naive,85,3,1,255,1.664
naive,86,1,1,256,0.671
naive,86,2,1,257,0.671
naive,86,3,1,258,0.669
naive,87,1,1,259,0.676
naive,87,2,1,260,0.667
naive,87,3,1,261,1.583
naive,88,1,1,262,0.694
naive,88,2,1,263,0.756
naive,88,3,1,264,0.695
naive,89,1,1,265,0.677
naive,89,2,1,266,0.673
naive,89,3,1,267,0.676
naive,90,1,1,268,0.690
naive,90,2,1,269,0.667
naive,90,3,1,270,0.671
naive,91,1,1,271,0.693
naive,91,2,1,272,0.687
naive,91,3,1,273,0.671
naive,92,1,1,274,0.738
naive,92,2,1,275,0.700
naive,92,3,1,276,0.694
naive,93,1,1,277,0.677
naive,93,2,1,278,0.692
naive,93,3,1,279,0.693
naive,94,1,1,280,0.673
naive,94,2,1,281,0.644
naive,94,3,1,282,0.658
naive,95,1,1,283,0.682
naive,95,2,1,284,0.781
naive,95,3,1,285,0.864
naive,96,1,1,286,0.670
naive,96,2,1,287,0.667
naive,96,3,1,288,0.689
naive,97,1,1,289,0.707
naive,97,2,1,290,0.715
naive,97,3,1,291,0.696
naive,98,1,1,292,0.698
naive,98,2,1,293,0.686
naive,98,3,1,294,0.689
naive,99,1,1,295,0.707
naive,99,2,1,296,0.701
naive,99,3,1,297,0.692
naive,100,1,1,298,0.678
naive,100,2,1,299,0.673
naive,100,3,1,300,0.676
idempotent,1,1,1,1,1.010
idempotent,1,2,0,1,0.597
idempotent,1,3,0,1,0.589
idempotent,2,1,1,2,0.917
idempotent,2,2,0,2,0.592
idempotent,2,3,0,2,0.590
idempotent,3,1,1,3,0.879
idempotent,3,2,0,3,0.613
idempotent,3,3,0,3,0.626
idempotent,4,1,1,4,0.862
idempotent,4,2,0,4,0.608
idempotent,4,3,0,4,0.590
idempotent,5,1,1,5,0.894
idempotent,5,2,0,5,0.569
idempotent,5,3,0,5,0.577
idempotent,6,1,1,6,0.873
idempotent,6,2,0,6,0.574
idempotent,6,3,0,6,0.575
idempotent,7,1,1,7,0.898
idempotent,7,2,0,7,0.586
idempotent,7,3,0,7,0.580
idempotent,8,1,1,8,0.869
idempotent,8,2,0,8,0.592
idempotent,8,3,0,8,0.597
idempotent,9,1,1,9,0.877
idempotent,9,2,0,9,0.572
idempotent,9,3,0,9,0.579
idempotent,10,1,1,10,0.866
idempotent,10,2,0,10,0.567
idempotent,10,3,0,10,0.595
idempotent,11,1,1,11,0.879
idempotent,11,2,0,11,0.593
idempotent,11,3,0,11,0.600
idempotent,12,1,1,12,1.942
idempotent,12,2,0,12,0.629
idempotent,12,3,0,12,0.583
idempotent,13,1,1,13,0.887
idempotent,13,2,0,13,0.589
idempotent,13,3,0,13,0.575
idempotent,14,1,1,14,0.865
idempotent,14,2,0,14,0.585
idempotent,14,3,0,14,0.580
idempotent,15,1,1,15,0.873
idempotent,15,2,0,15,0.574
idempotent,15,3,0,15,0.584
idempotent,16,1,1,16,0.887
idempotent,16,2,0,16,1.438
idempotent,16,3,0,16,0.584
idempotent,17,1,1,17,0.862
idempotent,17,2,0,17,0.574
idempotent,17,3,0,17,0.539
idempotent,18,1,1,18,0.893
idempotent,18,2,0,18,0.569
idempotent,18,3,0,18,0.588
idempotent,19,1,1,19,0.879
idempotent,19,2,0,19,0.593
idempotent,19,3,0,19,0.587
idempotent,20,1,1,20,0.889
idempotent,20,2,0,20,0.591
idempotent,20,3,0,20,0.584
idempotent,21,1,1,21,0.863
idempotent,21,2,0,21,0.606
idempotent,21,3,0,21,0.590
idempotent,22,1,1,22,0.898
idempotent,22,2,0,22,0.575
idempotent,22,3,0,22,0.596
idempotent,23,1,1,23,0.872
idempotent,23,2,0,23,0.581
idempotent,23,3,0,23,0.580
idempotent,24,1,1,24,0.866
idempotent,24,2,0,24,0.571
idempotent,24,3,0,24,0.582
idempotent,25,1,1,25,0.858
idempotent,25,2,0,25,0.588
idempotent,25,3,0,25,0.576
idempotent,26,1,1,26,0.886
idempotent,26,2,0,26,0.569
idempotent,26,3,0,26,0.595
idempotent,27,1,1,27,0.880
idempotent,27,2,0,27,0.584
idempotent,27,3,0,27,0.589
idempotent,28,1,1,28,0.872
idempotent,28,2,0,28,0.575
idempotent,28,3,0,28,0.587
idempotent,29,1,1,29,0.876
idempotent,29,2,0,29,0.587
idempotent,29,3,0,29,0.602
idempotent,30,1,1,30,0.875
idempotent,30,2,0,30,0.566
idempotent,30,3,0,30,1.392
idempotent,31,1,1,31,0.870
idempotent,31,2,0,31,0.571
idempotent,31,3,0,31,0.569
idempotent,32,1,1,32,0.869
idempotent,32,2,0,32,0.581
idempotent,32,3,0,32,0.565
idempotent,33,1,1,33,2.067
idempotent,33,2,0,33,0.578
idempotent,33,3,0,33,0.587
idempotent,34,1,1,34,0.883
idempotent,34,2,0,34,0.574
idempotent,34,3,0,34,0.565
idempotent,35,1,1,35,0.868
idempotent,35,2,0,35,0.572
idempotent,35,3,0,35,0.577
idempotent,36,1,1,36,1.822
idempotent,36,2,0,36,0.587
idempotent,36,3,0,36,0.592
idempotent,37,1,1,37,0.868
idempotent,37,2,0,37,0.587
idempotent,37,3,0,37,0.576
idempotent,38,1,1,38,0.851
idempotent,38,2,0,38,0.577
idempotent,38,3,0,38,0.594
idempotent,39,1,1,39,0.899
idempotent,39,2,0,39,0.584
idempotent,39,3,0,39,0.582
idempotent,40,1,1,40,0.868
idempotent,40,2,0,40,0.585
idempotent,40,3,0,40,0.579
idempotent,41,1,1,41,0.941
idempotent,41,2,0,41,0.574
idempotent,41,3,0,41,0.619
idempotent,42,1,1,42,0.889
idempotent,42,2,0,42,0.585
idempotent,42,3,0,42,0.612
idempotent,43,1,1,43,0.883
idempotent,43,2,0,43,0.580
idempotent,43,3,0,43,0.588
idempotent,44,1,1,44,0.875
idempotent,44,2,0,44,0.834
idempotent,44,3,0,44,0.613
idempotent,45,1,1,45,0.967
idempotent,45,2,0,45,0.589
